Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
2.71,0.33,2.542,35.0,57.34,,-0.012,0.006,0.003,0.0067,0.009,0.043,0.003,0.0431,-0.043,0.02,0.009,0.0219,-0.048,0.024,0.015,0.0283,0.034,0.153,0.01,0.1533,,,,,,,,,Zheng
3.52,0.47,2.2154,35.0,57.34,,-0.005,0.004,0.001,0.0041,0.026,0.013,0.003,0.0133,0.04,0.035,0.011,0.0367,-0.006,0.027,0.019,0.033,0.207,0.103,0.022,0.1053,,,,,,,,,Zheng
4.83,0.6,2.0224,45.0,573.4,,-0.006,0.002,0.001,0.0022,-0.009,0.009,0.001,0.0091,0.124,0.045,0.016,0.0478,0.175,0.048,0.027,0.0551,-0.19,0.204,0.027,0.2058,,,,,,,,,Zheng
0.277,,,45.0,47.4,,,,,,,,,,0.007,0.068,0.01,0.0687,,,,,,,,,,,,,,,,,Flay
0.325,,,45.0,47.4,,,,,,,,,,0.008,0.041,0.008,0.0418,,,,,,,,,,,,,,,,,Flay
0.374,,,45.0,47.4,,,,,,,,,,0.065,0.034,0.011,0.0357,,,,,,,,,,,,,,,,,Flay
0.424,,,45.0,47.4,,,,,,,,,,-0.066,0.038,0.013,0.0402,,,,,,,,,,,,,,,,,Flay
0.473,,,45.0,47.4,,,,,,,,,,-0.058,0.047,0.014,0.049,,,,,,,,,,,,,,,,,Flay
0.277,,,45.0,58.9,,,,,,,,,,0.143,0.112,0.014,0.1129,0.127,0.116,0.035,0.1212,,,,,,,,,,,,,Flay
0.325,,,45.0,58.9,,,,,,,,,,-0.019,0.056,0.009,0.0567,-0.031,0.058,0.009,0.0587,,,,,,,,,,,,,Flay
0.374,,,45.0,58.9,,,,,,,,,,0.031,0.046,0.009,0.0469,0.035,0.049,0.01,0.05,,,,,,,,,,,,,Flay
0.424,,,45.0,58.9,,,,,,,,,,-0.049,0.05,0.012,0.0514,-0.039,0.053,0.013,0.0546,,,,,,,,,,,,,Flay
0.474,,,45.0,58.9,,,,,,,,,,-0.044,0.062,0.015,0.0638,-0.044,0.066,0.017,0.0682,,,,,,,,,,,,,Flay
0.524,,,45.0,58.9,,,,,,,,,,0.098,0.082,0.017,0.0837,0.109,0.088,0.019,0.09,,,,,,,,,,,,,Flay
0.573,,,45.0,58.9,,,,,,,,,,0.132,0.116,0.021,0.1179,0.135,0.126,0.023,0.1281,,,,,,,,,,,,,Flay
3.08,0.277,,45.0,,,0.061,0.0804,0.0166,0.0821,,,,,0.044,0.058,0.012,0.0592,0.043,0.06,0.022,0.0639,,,,,,,,,,,,,Flay
3.08,0.325,,45.0,,,-0.0022,0.0357,0.0097,0.037,,,,,-0.002,0.033,0.009,0.0342,-0.004,0.035,0.009,0.0361,,,,,,,,,,,,,Flay
3.08,0.374,,45.0,,,0.0446,0.0236,0.0084,0.0251,,,,,0.053,0.028,0.01,0.0297,0.078,0.029,0.012,0.0314,,,,,,,,,,,,,Flay
3.08,0.424,,45.0,,,-0.0394,0.0197,0.0079,0.0212,,,,,-0.06,0.03,0.012,0.0323,-0.055,0.032,0.014,0.0349,,,,,,,,,,,,,Flay
3.08,0.474,,45.0,,,-0.0272,0.019,0.0077,0.0205,,,,,-0.053,0.037,0.015,0.0399,-0.044,0.04,0.016,0.0431,,,,,,,,,,,,,Flay
3.08,0.548,,45.0,,,0.0393,0.0239,0.0068,0.0248,,,,,0.11,0.067,0.019,0.0696,0.118,0.072,0.021,0.075,,,,,,,,,,,,,Flay
1.2,0.014,,,,,-0.351,0.115,0.11,0.1591,,,,,,,,,-0.058,0.019,0.018,0.0262,,,,,,,,,,,,,SLAC_E154
1.6,0.024,,,,,-0.374,0.071,0.065,0.0963,,,,,,,,,-0.08,0.015,0.014,0.0205,,,,,,,,,,,,,SLAC_E154
2.0,0.035,,,,,-0.29,0.061,0.039,0.0724,,,,,,,,,-0.078,0.018,0.011,0.0211,,,,,,,,,,,,,SLAC_E154
2.6,0.049,,,,,-0.204,0.04,0.022,0.0457,,,,,,,,,-0.086,0.016,0.01,0.0189,,,,,,,,,,,,,SLAC_E154
4.4,0.081,,,,,-0.137,0.021,0.016,0.0264,,,,,,,,,-0.092,0.013,0.011,0.017,,,,,,,,,,,,,SLAC_E154
6.6,0.123,,,,,-0.108,0.015,0.012,0.0192,,,,,,,,,-0.106,0.014,0.012,0.0184,,,,,,,,,,,,,SLAC_E154
8.2,0.173,,,,,-0.061,0.014,0.009,0.0166,,,,,,,,,-0.092,0.021,0.012,0.0242,,,,,,,,,,,,,SLAC_E154
9.8,0.242,,,,,-0.042,0.011,0.007,0.013,,,,,,,,,-0.112,0.028,0.02,0.0344,,,,,,,,,,,,,SLAC_E154
11.7,0.342,,,,,-0.017,0.011,0.005,0.0121,,,,,,,,,-0.068,0.065,0.025,0.0696,,,,,,,,,,,,,SLAC_E154
13.3,0.441,,,,,-0.007,0.011,0.002,0.0112,,,,,,,,,-0.003,0.142,0.022,0.1437,,,,,,,,,,,,,SLAC_E154
15.0,0.564,,,,,0.003,0.008,0.001,0.0081,,,,,,,,,0.1,0.294,0.039,0.2966,,,,,,,,,,,,,SLAC_E154
5.0,0.014,,,,,-0.497,0.163,0.155,0.2249,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.024,,,,,-0.481,0.092,0.083,0.1239,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.035,,,,,-0.345,0.073,0.047,0.0868,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
